coord_id,probe_id,seqnames,start,annotation,distanceToTSS,gene_entrez,gene_symbol,gene_name_full
chr2-143706222,cg20770201,chr2,143706222,"Intron (ENST00000295095.11/55843, intron 13 of 13)",101597,105373654,ARHGAP15-AS1,ARHGAP15 antisense RNA 1
chr2-165793399,cg00999988,chr2,165793399,Promoter,-822,124906086,LOC124906086,uncharacterized LOC124906086
chr2-165794419,cg24217704,chr2,165794419,Promoter,198,124906086,LOC124906086,uncharacterized LOC124906086
chr2-172090783,cg27406975,chr2,172090783,"Intron (ENST00000715284.1/ENST00000715284.1, intron 1 of 1)",12117,1746,DLX2,distal-less homeobox 2
chr2-174326002,cg01895649,chr2,174326002,Promoter,-25,285084,LINC01305,long intergenic non-protein coding RNA 1305
chr2-174597811,cg11526752,chr2,174597811,5' UTR,50814,124906096,LOC124906096,uncharacterized LOC124906096
chr2-176067729,cg04528477,chr2,176067729,Distal Intergenic,16233,344191,EVX2,even-skipped homeobox 2
chr2-176071668,cg01429449,chr2,176071668,Distal Intergenic,12294,344191,EVX2,even-skipped homeobox 2
chr2-176071852,cg00459623,chr2,176071852,Distal Intergenic,12110,344191,EVX2,even-skipped homeobox 2
chr2-176073242,cg07694390,chr2,176073242,Distal Intergenic,10720,344191,EVX2,even-skipped homeobox 2
chr2-176075572,cg08949655,chr2,176075572,Distal Intergenic,8390,344191,EVX2,even-skipped homeobox 2
chr2-176085278,cg26149275,chr2,176085278,Promoter,-1316,344191,EVX2,even-skipped homeobox 2
chr2-176091844,cg07802350,chr2,176091844,Promoter,-877,3239,HOXD13,homeobox D13
chr2-176104883,cg23348270,chr2,176104883,"Intron (ENST00000498438.1/3237, intron 1 of 1)",667,3237,HOXD11,homeobox D11
chr2-179562597,cg15328131,chr2,179562597,"Exon (ENST00000469551.5/151126, exon 1 of 5)",-297765,91404,SESTD1,SEC14 and spectrin domain containing 1
chr2-19359046,cg01128642,chr2,19359046,Promoter,-423,130497,OSR1,odd-skipped related transcription factor 1
chr2-1979711,cg17918270,chr2,1979711,"Exon (ENST00000648148.1/23040, exon 4 of 4)",136746,107985838,LOC107985838,uncharacterized LOC107985838
chr2-199470834,cg10168149,chr2,199470834,"Exon (ENST00000450728.1/150538, exon 2 of 2)",432,23314,SATB2,SATB homeobox 2
chr2-208124523,cg22399133,chr2,208124523,5' UTR,5414,100507443,LOC100507443,uncharacterized LOC100507443
chr2-2115760,cg26383138,chr2,2115760,"Intron (ENST00000647755.1/23040, intron 3 of 24)",-203472,730811,MYT1L-AS1,MYT1L antisense RNA 1
chr2-219001714,cg00215432,chr2,219001714,Promoter,-6,494324,MIR375,microRNA 375
chr2-22382815,cg03437887,chr2,22382815,"Intron (ENST00000419013.1/ENST00000419013.1, intron 1 of 3)",-125287,102723362,LINC01884,long intergenic non-protein coding RNA 1884
chr2-40179143,cg08170824,chr2,40179143,"Intron (ENST00000599740.1/100128590, intron 1 of 1)",-332778,101929667,LOC101929667,uncharacterized LOC101929667
chr2-44953127,cg24673771,chr2,44953127,"Intron (ENST00000760330.1/ENST00000760330.1, intron 1 of 1)",-7342,100506108,SIX3-AS1,SIX3 antisense RNA 1
chr2-45178076,cg01083804,chr2,45178076,"Intron (ENST00000716439.1/ENST00000716439.1, intron 3 of 4)",8488,105374576,LOC105374576,uncharacterized LOC105374576
chr2-45823855,cg10903225,chr2,45823855,"Intron (ENST00000421201.1/5581, intron 2 of 2)",-138947,124907761,LOC124907761,uncharacterized LOC124907761
chr2-5755022,cg02865769,chr2,5755022,"Intron (ENST00000829845.1/112268411, intron 2 of 2)",28993,112268411,LOC112268411,uncharacterized LOC112268411
chr2-64858108,cg10017626,chr2,64858108,"Intron (ENST00000772000.1/105374777, intron 1 of 3)",5548,105374777,LOC105374777,uncharacterized LOC105374777
chr2-67040060,cg04904480,chr2,67040060,"Intron (ENST00000758901.1/ENST00000758901.1, intron 1 of 3)",-1609,105374785,LOC105374785,uncharacterized LOC105374785
chr2-8050323,cg09919947,chr2,8050323,"Intron (ENST00000663636.1/339788, intron 1 of 5)",-150486,101929551,LOC101929551,uncharacterized LOC101929551
chr2-85413638,cg09337254,chr2,85413638,"Intron (ENST00000409670.5/822, intron 1 of 9)",4794,822,CAPG,"capping actin protein, gelsolin like"
chr2-921285,cg10813539,chr2,921285,"Intron (ENST00000758261.1/ENST00000758261.1, intron 1 of 2)",-15746,101060385,LINC01939,long intergenic non-protein coding RNA 1939
chr2-95025075,cg05142617,chr2,95025075,Promoter,-602,4118,MAL,"mal, T cell differentiation protein (MAL blood group)"
chr20-18832005,cg05171617,chr20,18832005,Distal Intergenic,-1796,100128496,SCP2D1-AS1,SCP2D1 antisense RNA 1
chr20-21103778,cg14262681,chr20,21103778,"Exon (ENST00000833180.1/ENST00000833180.1, exon 2 of 2)",2803,105372556,LINC00237,long intergenic non-protein coding RNA 237
chr20-21512275,cg22474464,chr20,21512275,"Exon (ENST00000549659.1/ENST00000549659.1, exon 2 of 2)",-5867,112268271,LOC112268271,translation initiation factor IF-2
chr20-21517461,cg17651959,chr20,21517461,"Intron (ENST00000750853.1/ENST00000750853.1, intron 1 of 1)",5214,4821,NKX2-2,NK2 homeobox 2
chr20-36831552,cg08559141,chr20,36831552,"Intron (ENST00000237536.9/140710, intron 2 of 14)",31986,140710,MTCL2,microtubule crosslinking factor 2
chr20-45823993,cg27262717,chr20,45823993,"Exon (ENST00000372555.8/7125, exon 5 of 6)",9752,7125,TNNC2,"troponin C2, fast skeletal type"
chr20-60055723,cg14671017,chr20,60055723,"Intron (ENST00000839661.1/284756, intron 2 of 2)",2034,284757,MIR646HG,MIR646 host gene
chr21-31560027,cg13748469,chr21,31560027,Promoter,-50,7074,TIAM1,TIAM Rac1 associated GEF 1
chr21-34560206,cg09783605,chr21,34560206,"Intron (ENST00000684114.1/1827, intron 1 of 4)",-47992,3753,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1
chr21-41479960,cg05218995,chr21,41479960,"Intron (ENST00000679263.1/7113, intron 6 of 13)",51138,124905021,LOC124905021,uncharacterized LOC124905021
chr21-42286129,cg20075442,chr21,42286129,"Exon (ENST00000467818.1/9619, exon 4 of 4)",29280,7033,TFF3,trefoil factor 3
chr21-44686188,cg24194661,chr21,44686188,"Intron (ENST00000323084.9/54084, intron 1 of 11)",-4025,353332,KRTAP12-1,keratin associated protein 12-1
chr22-50299730,cg16050561,chr22,50299730,"Intron (ENST00000449103.5/23654, intron 1 of 36)",7916,23654,PLXNB2,plexin B2
chr3-113261606,cg20083609,chr3,113261606,"Exon (ENST00000658424.1/124909409, exon 2 of 2)",5218,124909409,LOC124909409,uncharacterized LOC124909409
chr3-119296618,cg02745009,chr3,119296618,"Intron (ENST00000264245.9/57514, intron 1 of 11)",2235,57514,ARHGAP31,Rho GTPase activating protein 31
chr3-122245755,cg14436379,chr3,122245755,"Intron (ENST00000639785.2/846, intron 1 of 6)",62087,846,CASR,calcium sensing receptor
chr3-128496589,cg01571001,chr3,128496589,"Intron (ENST00000740170.1/101927167, intron 2 of 2)",-3388,2624,GATA2,GATA binding protein 2
chr3-129975643,cg08195943,chr3,129975643,"Intron (ENST00000507066.1/7200, intron 1 of 2)",955,7200,TRH,thyrotropin releasing hormone
chr3-137351507,cg15234523,chr3,137351507,Distal Intergenic,362584,105374126,LOC105374126,uncharacterized LOC105374126
chr3-147412689,cg14750948,chr3,147412689,"Intron (ENST00000472523.1/440982, intron 1 of 1)",-5880,84107,ZIC4,Zic family zinc finger 4
chr3-15160002,cg02957042,chr3,15160002,"Intron (ENST00000487147.5/344875, intron 8 of 12)",45957,344875,COL6A4P1,collagen type VI alpha 4 pseudogene 1
chr3-154122557,cg27020216,chr3,154122557,Promoter,-1210,100507524,ARHGEF26-AS1,ARHGEF26 antisense RNA 1
chr3-154122746,cg26777729,chr3,154122746,Promoter,-1399,100507524,ARHGEF26-AS1,ARHGEF26 antisense RNA 1
chr3-158104129,cg20501518,chr3,158104129,"Exon (ENST00000490689.3/6474, exon 2 of 5)",-1726,51319,RSRC1,arginine and serine rich coiled-coil 1
chr3-160403486,cg26663696,chr3,160403486,Promoter,-1102,406949,MIR15B,microRNA 15b
chr3-171028475,cg14777768,chr3,171028475,"Intron (ENST00000834081.1/105374216, intron 2 of 2)",-1732,6514,SLC2A2,solute carrier family 2 member 2
chr3-17983810,cg14536682,chr3,17983810,"Intron (ENST00000624232.2/339862, intron 2 of 4)",122888,339862,BALR6,B-cell acute lymphoblastic leukemia associated long RNA 6
chr3-27713514,cg21757276,chr3,27713514,"Exon (ENST00000785157.1/ENST00000785157.1, exon 2 of 2)",1225,105377006,LINC02084,long intergenic non-protein coding RNA 2084
chr3-27730175,cg07413251,chr3,27730175,Distal Intergenic,-7464,8320,EOMES,eomesodermin
chr3-54869954,cg11445695,chr3,54869954,"Intron (ENST00000474759.6/55799, intron 17 of 37)",31304,100874237,CACNA2D3-AS1,CACNA2D3 antisense RNA 1
chr3-61594868,cg20559405,chr3,61594868,"Intron (ENST00000495879.1/5793, intron 1 of 2)",33299,5793,PTPRG,protein tyrosine phosphatase receptor type G
chr4-100107169,cg14305573,chr4,100107169,"Intron (ENST00000515026.1/256880, intron 5 of 5)",-82839,101929353,DDIT4L-AS1,DDIT4L antisense RNA 1
chr4-101191743,cg12010857,chr4,101191743,"Intron (ENST00000512215.5/5530, intron 2 of 7)",49129,102465868,MIR8066,microRNA 8066
chr4-101418097,cg16616070,chr4,101418097,"Intron (ENST00000502990.5/ENST00000502990.5, intron 2 of 4)",-1864,55024,BANK1,B cell scaffold protein with ankyrin repeats 1
chr4-1034096,cg09223687,chr4,1034096,"Intron (ENST00000721865.1/105374343, intron 1 of 1)",302,105374343,LOC105374343,uncharacterized LOC105374343
chr4-1034178,cg15556591,chr4,1034178,"Intron (ENST00000721865.1/105374343, intron 1 of 1)",384,105374343,LOC105374343,uncharacterized LOC105374343
chr4-1041673,cg23595451,chr4,1041673,"Intron (ENST00000721865.1/105374343, intron 1 of 1)",7879,105374343,LOC105374343,uncharacterized LOC105374343
chr4-105306642,cg13810195,chr4,105306642,"Exon (ENST00000776779.1/ENST00000776779.1, exon 1 of 2)",46369,104384744,TET2-AS1,TET2 antisense RNA 1
chr4-109559926,cg05702851,chr4,109559926,Promoter,-283,55013,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
chr4-110629509,cg03184290,chr4,110629509,"Intron (ENST00000394595.8/5308, intron 3 of 4)",12614,5308,PITX2,paired like homeodomain 2
chr4-13525144,cg07333191,chr4,13525144,Distal Intergenic,9191,285547,LINC01097,long intergenic non-protein coding RNA 1097
chr4-139849421,cg00987237,chr4,139849421,"Intron (ENST00000509479.6/55534, intron 2 of 4)",86368,124900781,MAML3-AS2,MAML3 antisense RNA 2
chr4-143616957,cg15851462,chr4,143616957,"Intron (ENST00000793865.1/ENST00000793865.1, intron 2 of 4)",-37960,101927636,LOC101927636,uncharacterized LOC101927636
chr4-153223133,cg13899188,chr4,153223133,"Intron (ENST00000676423.1/23321, intron 1 of 11)",70970,23321,TRIM2,tripartite motif containing 2
chr4-153223309,cg24510494,chr4,153223309,"Intron (ENST00000676423.1/23321, intron 1 of 11)",71146,23321,TRIM2,tripartite motif containing 2
chr4-158394287,cg01024679,chr4,158394287,"Intron (ENST00000460056.6/59350, intron 1 of 19)",14505,105377510,LOC105377510,uncharacterized LOC105377510
chr4-159228451,cg00730887,chr4,159228451,"Intron (ENST00000644474.1/9693, intron 4 of 29)",-99557,100500881,MIR3688-1,microRNA 3688-1
chr4-16083922,cg13709870,chr4,16083922,"Intron (ENST00000447510.7/8842, intron 1 of 27)",456,8842,PROM1,prominin 1
chr4-16083982,cg14736058,chr4,16083982,5' UTR,396,8842,PROM1,prominin 1
chr4-37890194,cg27606137,chr4,37890194,Promoter,-890,23216,TBC1D1,TBC1 domain family member 1
chr4-40560112,cg13304206,chr4,40560112,"Intron (ENST00000295971.12/54502, intron 1 of 6)",-57993,100616274,MIR4802,microRNA 4802
chr4-40750820,cg12812233,chr4,40750820,"Exon (ENST00000316607.5/79730, exon 2 of 11)",895,79730,NSUN7,NOP2/Sun RNA methyltransferase family member 7
chr4-4853620,cg02639540,chr4,4853620,Distal Intergenic,-6045,4487,MSX1,msh homeobox 1
chr4-5038293,cg17151012,chr4,5038293,Distal Intergenic,-13187,55351,STK32B,serine/threonine kinase 32B
chr4-54226870,cg24783211,chr4,54226870,"Intron (ENST00000507166.5/5156, intron 12 of 23)",-105857,105377656,LINC02283,long intergenic non-protein coding RNA 2283
chr4-722075,cg25670583,chr4,722075,"Intron (ENST00000419774.5/10336, intron 1 of 5)",16327,10336,PCGF3,polycomb group ring finger 3
chr4-7650069,cg13066562,chr4,7650069,"Intron (ENST00000507866.6/57537, intron 4 of 26)",-104008,84740,AFAP1-AS1,AFAP1 antisense RNA 1
chr4-7650207,cg00387964,chr4,7650207,"Intron (ENST00000507866.6/57537, intron 4 of 26)",-103870,84740,AFAP1-AS1,AFAP1 antisense RNA 1
chr4-79242083,cg27138166,chr4,79242083,"Intron (ENST00000509088.7/100505875, intron 4 of 5)",83978,84779,NAA11,"N-alpha-acetyltransferase 11, NatA catalytic subunit"
chr5-10973516,cg24977670,chr5,10973516,3' UTR,-186491,102723441,CTD-2154B17.1,uncharacterized CTD-2154B17.1
chr5-151264346,cg01411934,chr5,151264346,"Intron (ENST00000523466.5/2760, intron 3 of 3)",-13035,124901115,LOC124901115,uncharacterized LOC124901115
chr5-15249395,cg26749897,chr5,15249395,"Intron (ENST00000788346.1/101929454, intron 3 of 5)",-138475,124900197,LOC124900197,U8 small nucleolar RNA
chr5-157050225,cg25988204,chr5,157050225,"Intron (ENST00000339252.8/26762, intron 3 of 7)",19171,26762,HAVCR1,hepatitis A virus cellular receptor 1
chr5-157050258,cg06733479,chr5,157050258,"Intron (ENST00000339252.8/26762, intron 3 of 7)",19138,26762,HAVCR1,hepatitis A virus cellular receptor 1
chr5-1746533,cg18007559,chr5,1746533,Distal Intergenic,-20635,105374614,MIR4277HG,MIR4277 host gene
chr5-177363177,cg23417203,chr5,177363177,"Intron (ENST00000408923.8/10636, intron 1 of 14)",5253,10636,RGS14,regulator of G protein signaling 14
chr5-2117414,cg04913686,chr5,2117414,"Intron (ENST00000653000.1/105374618, intron 8 of 8)",-149443,124901166,LOC124901166,uncharacterized LOC124901166
chr5-2866350,cg13945749,chr5,2866350,Distal Intergenic,-51508,105374620,LOC105374620,uncharacterized LOC105374620
chr5-35884652,cg24303598,chr5,35884652,Distal Intergenic,-30278,105374724,LOC105374724,uncharacterized LOC105374724
chr5-37910451,cg24966555,chr5,37910451,"Intron (ENST00000715998.1/105374731, intron 2 of 3)",10439,105374728,LINC02117,long intergenic non-protein coding RNA 2117
chr5-40681034,cg05971966,chr5,40681034,"Exon (ENST00000302472.4/5734, exon 2 of 3)",1119,5734,PTGER4,prostaglandin E receptor 4
chr5-40681618,cg19669107,chr5,40681618,"Exon (ENST00000302472.4/5734, exon 2 of 3)",1703,5734,PTGER4,prostaglandin E receptor 4
chr5-42953440,cg02282631,chr5,42953440,"Exon (ENST00000773509.1/ENST00000773509.1, exon 2 of 2)",-40349,105374746,LOC105374746,uncharacterized LOC105374746
chr5-42953487,cg21587238,chr5,42953487,"Exon (ENST00000773509.1/ENST00000773509.1, exon 2 of 2)",-40302,105374746,LOC105374746,uncharacterized LOC105374746
chr5-43037182,cg04268624,chr5,43037182,"Intron (ENST00000772992.1/ENST00000772992.1, intron 1 of 1)",-3775,153684,ANXA2R-AS1,ANXA2R antisense RNA 1
chr5-62783890,cg23527945,chr5,62783890,Distal Intergenic,205069,101180901,IPO11-LRRC70,IPO11-LRRC70 readthrough
chr5-73436658,cg22156700,chr5,73436658,Distal Intergenic,12119,2297,FOXD1,forkhead box D1
chr5-73444326,cg15132565,chr5,73444326,Distal Intergenic,4451,2297,FOXD1,forkhead box D1
chr5-73444632,cg00332937,chr5,73444632,Distal Intergenic,4145,2297,FOXD1,forkhead box D1
chr5-73444909,cg18063312,chr5,73444909,"Exon (ENST00000513595.1/ENST00000513595.1, exon 2 of 2)",3868,2297,FOXD1,forkhead box D1
chr5-74579353,cg23264234,chr5,74579353,"Intron (ENST00000783168.1/ENST00000783168.1, intron 1 of 1)",-42224,104310351,LINC01331,long intergenic non-protein coding RNA 1331
chr5-77632984,cg16304215,chr5,77632984,"Intron (ENST00000306422.5/23440, intron 2 of 2)",5729,23440,OTP,orthopedia homeobox
chr5-77638893,cg12075492,chr5,77638893,Promoter,-180,23440,OTP,orthopedia homeobox
chr5-77958149,cg09048251,chr5,77958149,"Exon (ENST00000658162.3/101929154, exon 1 of 2)",6943,101929154,LOC101929154,uncharacterized LOC101929154
chr5-77958165,cg07595776,chr5,77958165,"Exon (ENST00000658162.3/101929154, exon 1 of 2)",6959,101929154,LOC101929154,uncharacterized LOC101929154
chr5-77972627,cg04502985,chr5,77972627,Distal Intergenic,21421,101929154,LOC101929154,uncharacterized LOC101929154
chr5-79111854,cg02286091,chr5,79111854,Promoter,45,635,BHMT,betaine--homocysteine S-methyltransferase
chr5-88694264,cg08850461,chr5,88694264,"Exon (ENST00000663453.2/124901024, exon 1 of 3)",1228,124901024,GSCAR,glioma stem cell associated long noncoding RNA
chr6-104940792,cg23746497,chr6,104940792,"Intron (ENST00000635857.1/389421, intron 2 of 5)",658,100113403,LIN28B-AS1,LIN28B antisense RNA 1
chr6-104940818,cg03738025,chr6,104940818,"Intron (ENST00000635857.1/389421, intron 2 of 5)",632,100113403,LIN28B-AS1,LIN28B antisense RNA 1
chr6-12749745,cg13246235,chr6,12749745,"Exon (ENST00000693693.1/221692, exon 4 of 10)",33433,221692,PHACTR1,phosphatase and actin regulator 1
chr6-151004505,cg21691367,chr6,151004505,"Intron (ENST00000611279.4/25902, intron 20 of 27)",69537,101928788,ARL4AP5,ARF like GTPase 4A pseudogene 5
chr6-161917824,cg02631686,chr6,161917824,"Intron (ENST00000366898.6/5071, intron 6 of 11)",-316919,105378097,LNCR-SMAL,lncRNA senescence and mitophagy associated regulator of PRKN
chr6-16803580,cg12209121,chr6,16803580,"Intron (ENST00000840669.1/ENST00000840669.1, intron 1 of 5)",-42089,6310,ATXN1,ataxin 1
chr6-168158775,cg14972139,chr6,168158775,Distal Intergenic,-57264,79981,FRMD1,FERM domain containing 1
chr6-168302878,cg25751205,chr6,168302878,"Intron (ENST00000366796.7/168002, intron 3 of 5)",16899,168002,DACT2,dishevelled binding antagonist of beta catenin 2
chr6-24358007,cg04515001,chr6,24358007,Promoter,52,51473,DCDC2,doublecortin domain containing 2
chr6-24358069,cg10329683,chr6,24358069,Promoter,-10,51473,DCDC2,doublecortin domain containing 2
chr6-29486845,cg12423733,chr6,29486845,"Exon (ENST00000377127.4/116511, exon 1 of 1)",7381,124901486,LOC124901486,uncharacterized LOC124901486
chr6-29553360,cg02149189,chr6,29553360,"Exon (ENST00000641730.1/442197, exon 2 of 2)",2953,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553367,cg00674706,chr6,29553367,"Exon (ENST00000641730.1/442197, exon 2 of 2)",2960,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553494,cg22762215,chr6,29553494,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3087,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553578,cg21632158,chr6,29553578,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3171,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553642,cg22305167,chr6,29553642,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3235,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553710,cg21133153,chr6,29553710,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3303,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553721,cg06087185,chr6,29553721,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3314,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553824,cg00370229,chr6,29553824,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3417,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553846,cg03409187,chr6,29553846,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3439,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-29553853,cg19690984,chr6,29553853,"Exon (ENST00000641730.1/442197, exon 2 of 2)",3446,442197,OR2I1,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)
chr6-30127480,cg27282900,chr6,30127480,Distal Intergenic,-150128,124901298,LOC124901298,uncharacterized LOC124901298
chr6-30127487,cg02049405,chr6,30127487,Distal Intergenic,-150135,124901298,LOC124901298,uncharacterized LOC124901298
chr6-31683152,cg06460587,chr6,31683152,"Exon (ENST00000375863.7/80741, exon 2 of 4)",17939,100616230,MIR4646,microRNA 4646
chr6-31683251,cg08624648,chr6,31683251,"Exon (ENST00000375863.7/80741, exon 2 of 4)",17840,100616230,MIR4646,microRNA 4646
chr6-32096480,cg10923662,chr6,32096480,"Exon (ENST00000644971.2/7148, exon 3 of 44)",73636,102466190,MIR6721,microRNA 6721
chr6-32149301,cg22897615,chr6,32149301,"Exon (ENST00000467780.5/80863, exon 2 of 2)",20815,102466190,MIR6721,microRNA 6721
chr6-35370270,cg17029792,chr6,35370270,"Intron (ENST00000360694.8/5467, intron 2 of 7)",27712,5467,PPARD,peroxisome proliferator activated receptor delta
chr6-43094095,cg10072269,chr6,43094095,"Intron (ENST00000476760.1/5754, intron 1 of 1)",-16785,112267958,KLC4-AS1,KLC4 antisense RNA 1
chr6-45420179,cg25494480,chr6,45420179,"Intron (ENST00000483377.5/860, intron 2 of 7)",1819,124901324,LOC124901324,uncharacterized LOC124901324
chr7-100493740,cg03113878,chr7,100493740,"Exon (ENST00000300179.7/222950, exon 7 of 7)",9813,222950,NYAP1,neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
chr7-116028441,cg03125206,chr7,116028441,"Intron (ENST00000265440.12/22797, intron 1 of 7)",131455,22797,TFEC,transcription factor EC
chr7-128240878,cg12782180,chr7,128240878,Promoter,-400,3952,LEP,leptin
chr7-128241226,cg19594666,chr7,128241226,Promoter,-52,3952,LEP,leptin
chr7-128241239,cg11045943,chr7,128241239,Promoter,-39,3952,LEP,leptin
chr7-128241244,cg26814075,chr7,128241244,Promoter,-34,3952,LEP,leptin
chr7-128241290,cg13381984,chr7,128241290,Promoter,12,3952,LEP,leptin
chr7-128271812,cg01745789,chr7,128271812,Distal Intergenic,30534,3952,LEP,leptin
chr7-148419982,cg03252313,chr7,148419982,3' UTR,-170784,202865,C7orf33,chromosome 7 open reading frame 33
chr7-150433619,cg03059073,chr7,150433619,"Intron (ENST00000765372.1/285972, intron 1 of 4)",342,285972,LINC00996,long intergenic non-protein coding RNA 996
chr7-150515618,cg08637514,chr7,150515618,"Intron (ENST00000313543.5/168537, intron 1 of 1)",746,168537,GIMAP7,"GTPase, IMAP family member 7"
chr7-150515996,cg09092089,chr7,150515996,"Intron (ENST00000313543.5/168537, intron 1 of 1)",1124,168537,GIMAP7,"GTPase, IMAP family member 7"
chr7-150738690,cg03334072,chr7,150738690,"Exon (ENST00000476324.1/55340, exon 1 of 2)",16437,55340,GIMAP5,"GTPase, IMAP family member 5"
chr7-150740143,cg03508765,chr7,150740143,"Exon (ENST00000476324.1/55340, exon 1 of 2)",17890,55340,GIMAP5,"GTPase, IMAP family member 5"
chr7-150755840,cg13870058,chr7,150755840,Distal Intergenic,26439,105375566,LOC105375566,uncharacterized LOC105375566
chr7-155372299,cg16476975,chr7,155372299,Distal Intergenic,-4365,338436,BLACE,B cell acute lymphoblastic leukemia expressed
chr7-155455015,cg12371933,chr7,155455015,"Intron (ENST00000781270.1/121832807, intron 1 of 4)",2104,121832807,EN2-DT,EN2 divergent transcript
chr7-155466828,cg16535144,chr7,155466828,"Exon (ENST00000745861.1/ENST00000745861.1, exon 1 of 2)",8699,2020,EN2,engrailed homeobox 2
chr7-155467149,cg04828133,chr7,155467149,"Intron (ENST00000745860.1/ENST00000745860.1, intron 1 of 1)",9020,2020,EN2,engrailed homeobox 2
chr7-156104741,cg24838949,chr7,156104741,Distal Intergenic,-41325,105375602,LOC105375602,uncharacterized LOC105375602
chr7-156178259,cg12163018,chr7,156178259,Distal Intergenic,-15798,124901790,LOC124901790,uncharacterized LOC124901790
chr7-156196674,cg22272803,chr7,156196674,"Intron (ENST00000728934.1/124901790, intron 2 of 3)",2617,124901790,LOC124901790,uncharacterized LOC124901790
chr7-157004234,cg10298479,chr7,157004234,"Intron (ENST00000469500.5/3110, intron 1 of 1)",-2073,105375606,MNX1-AS2,MNX1 antisense RNA 2
chr7-157603789,cg17364913,chr7,157603789,"Intron (ENST00000389413.7/5799, intron 15 of 21)",-10230,105375614,LOC105375614,uncharacterized LOC105375614
chr7-157862743,cg10249637,chr7,157862743,"Exon (ENST00000443338.1/100506585, exon 2 of 2)",8284,100506585,PTPRN2-AS1,PTPRN2 antisense RNA 1
chr7-157951654,cg11356247,chr7,157951654,"Intron (ENST00000389413.7/5799, intron 10 of 21)",-35493,105375613,LOC105375613,uncharacterized LOC105375613
chr7-158175233,cg25903223,chr7,158175233,"Intron (ENST00000389413.7/5799, intron 5 of 21)",188086,105375613,LOC105375613,uncharacterized LOC105375613
chr7-158277639,cg11757337,chr7,158277639,"Intron (ENST00000389413.7/5799, intron 3 of 21)",255174,693180,MIR595,microRNA 595
chr7-158300557,cg09992350,chr7,158300557,"Intron (ENST00000389413.7/5799, intron 3 of 21)",232256,693180,MIR595,microRNA 595
chr7-158428677,cg02768721,chr7,158428677,"Intron (ENST00000389413.7/5799, intron 2 of 21)",104136,693180,MIR595,microRNA 595
chr7-158490529,cg15001936,chr7,158490529,"Intron (ENST00000389413.7/5799, intron 1 of 21)",42284,693180,MIR595,microRNA 595
chr7-158501973,cg06934974,chr7,158501973,"Intron (ENST00000389413.7/5799, intron 1 of 21)",30840,693180,MIR595,microRNA 595
chr7-158533464,cg06912413,chr7,158533464,Promoter,-651,693180,MIR595,microRNA 595
chr7-1811164,cg26697605,chr7,1811164,Distal Intergenic,-27209,100127955,LOC100127955,uncharacterized LOC100127955
chr7-26153411,cg21699330,chr7,26153411,"Intron (ENST00000056233.4/9603, intron 1 of 3)",1213,9603,NFE2L3,NFE2 like bZIP transcription factor 3
chr7-27147933,cg22469274,chr7,27147933,"Intron (ENST00000518848.5/100133311, intron 1 of 2)",2670,3203,HOXA6,homeobox A6
chr7-27153036,cg23263937,chr7,27153036,Promoter,-438,3200,HOXA3,homeobox A3
chr7-27174423,cg18416576,chr7,27174423,"Intron (ENST00000716621.1/221883, intron 1 of 1)",757,3205,HOXA9,homeobox A9
chr7-27179896,cg00870179,chr7,27179896,Promoter,117,100534589,HOXA10-HOXA9,HOXA10-HOXA9 readthrough
chr7-29563594,cg19942237,chr7,29563594,Promoter,-241,222171,PRR15,proline rich 15
chr7-29563710,cg07075840,chr7,29563710,Promoter,-125,222171,PRR15,proline rich 15
chr7-29563788,cg18570553,chr7,29563788,Promoter,-47,222171,PRR15,proline rich 15
chr7-29563790,cg09282258,chr7,29563790,Promoter,-45,222171,PRR15,proline rich 15
chr7-3092612,cg00024102,chr7,3092612,"Intron (ENST00000810307.1/105375130, intron 2 of 4)",25470,105375130,LOC105375130,uncharacterized LOC105375130
chr7-3552579,cg27564338,chr7,3552579,"Intron (ENST00000404826.7/221935, intron 1 of 44)",-250055,105375132,SDK1-AS1,SDK1 antisense RNA 1
